nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:10:18 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:10:59 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:11:22 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:17:03 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:19:40 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:21:48 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:37:39 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:37:51 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 09:09:41 EEST 2019; thread_name: main
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 09:10:06 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 09:12:53 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 09:22:26 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 09:23:15 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 09:23:32 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 09:23:37 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 09:31:36 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 09:33:04 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 09:57:54 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 09:58:49 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 10:00:33 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: afisare_categorii; timestamp: Tue May 14 10:00:46 EEST 2019; thread_name: main
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 10:18:32 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 10:19:11 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 10:19:49 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 10:20:14 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 10:20:36 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 10:21:04 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 22:06:11 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 22:06:26 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_liste_cumparaturi; timestamp: Tue May 14 22:06:50 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_lista_cumparaturi, id = 21; timestamp: Tue May 14 22:10:34 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 22:12:05 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 22:12:27 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 22:12:55 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 22:13:30 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_lista_cumparaturi, id = 43; timestamp: Tue May 14 22:13:42 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Wed May 22 13:10:24 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Wed May 22 14:53:33 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: stergere_lista_cumparaturi, id = 40; timestamp: Wed May 22 14:54:06 EEST 2019; thread_name: AWT-EventQueue-0
